(("manufacturer", "Samsung"), "hasStatement", ("statement", "SamsungConsumerHealthDataPrivacyStatement"), 0.5)
(("application", "SmartThings"), "sharesWith", ("entity", "ServiceProviders"), 0.5)
(("application", "SmartThings"), "sharesWith", ("entity", "ThirdPartyPlugins"), 0.5)
(("application", "SmartThings"), "sharesWith", ("entity", "LegalAuthorities"), 0.5)
(("application", "SmartThings"), "sharesWith", ("entity", "ConsentedParties"), 0.5)
(("application", "SmartThings"), "retainsData", ("policy", "AsLongAsNecessary"), 0.5)
(("application", "SmartThings"), "retainsDataFor", ("policy", "LegalObligations"), 0.5)
(("application", "SmartThings"), "retainsDataFor", ("policy", "Contracts"), 0.5)
(("application", "SmartThings"), "deletesData", ("policy", "WhenNoLongerNeeded"), 0.5)
(("application", "SmartThings"), "anonymizesData", ("policy", "WhenNoLongerNeeded"), 0.5)
(("person", "User"), "canAccess", ("data", "PersonalData"), 0.5)
(("person", "User"), "canUpdate", ("data", "PersonalData"), 0.5)
(("person", "User"), "canDelete", ("data", "PersonalData"), 0.5)
(("person", "User"), "canRestrict", ("data", "SensitiveDataProcessing"), 0.5)
(("application", "SmartThingsFamilyCare"), "collects", ("data", "ProfileInformation"), 0.5)
(("application", "SmartThingsFamilyCare"), "collects", ("data", "EmergencyContacts"), 0.5)
(("application", "SmartThingsFamilyCare"), "collects", ("data", "MedicationSchedule"), 0.5)
(("application", "SmartThingsFamilyCare"), "collects", ("data", "MedicalVisits"), 0.5)
(("application", "SmartThingsFamilyCare"), "collects", ("data", "StepCount"), 0.5)
(("application", "SmartThingsFamilyCare"), "collects", ("data", "Symptoms"), 0.5)
(("application", "SmartThingsFamilyCare"), "collects", ("data", "CryCountData"), 0.5)
(("application", "SmartThingsFamilyCare"), "collectsWithConsent", ("data", "Location"), 0.5)
(("application", "SmartThingsFamilyCare"), "collectsWithConsent", ("data", "ActivityLogs"), 0.5)
(("application", "SmartThingsFamilyCare"), "sharesWith", ("entity", "Caregiver"), 0.5)
(("application", "SmartThingsFamilyCare"), "doesNotCollect", ("data", "VoiceInformation"), 0.5)
(("account", "SamsungAccount"), "linksTo", ("entity", "ThirdPartyDevices"), 0.5)
(("account", "SamsungAccount"), "linksTo", ("entity", "ThirdPartyApps"), 0.5)
(("account", "SamsungAccount"), "linksTo", ("entity", "ThirdPartyServices"), 0.5)
(("manufacturer", "Samsung"), "usesDataFor", ("purpose", "UserIdentification"), 0.5)
(("manufacturer", "Samsung"), "usesDataFor", ("purpose", "Authentication"), 0.5)
(("manufacturer", "Samsung"), "usesDataFor", ("purpose", "ServiceProvision"), 0.5)
(("manufacturer", "Samsung"), "usesDataFor", ("purpose", "Personalization"), 0.5)
(("manufacturer", "Samsung"), "usesDataFor", ("purpose", "Advertising"), 0.5)
(("manufacturer", "Samsung"), "requiresConsentFor", ("purpose", "PersonalizedAdvertising"), 0.5)
(("manufacturer", "Samsung"), "sends", ("data", "Notifications"), 0.5)
(("manufacturer", "Samsung"), "sends", ("data", "Alerts"), 0.5)
(("manufacturer", "Samsung"), "sends", ("data", "Offers"), 0.5)
(("service", "SmartService"), "contactsUserVia", ("channel", "Email"), 0.5)
(("service", "SmartService"), "contactsUserVia", ("channel", "Phone"), 0.5)
(("service", "SmartService"), "contactsUserVia", ("channel", "TextMessage"), 0.5)
(("application", "SmartThings"), "operateIndependentlyFrom", ("system", "Devices"), 0.5)
(("application", "SmartThings"), "operateIndependentlyFrom", ("system", "Apps"), 0.5)
(("application", "SmartThings"), "operateIndependentlyFrom", ("system", "Features"), 0.5)
(("application", "SmartThings"), "notResponsibleFor", ("entity", "ThirdPartyContent"), 0.5)
(("application", "SmartThings"), "mustComplyWith", ("law", "PrivacyLaws"), 0.5)
(("application", "SmartThings"), "mustComplyWith", ("law", "VideoSurveillanceLaws"), 0.5)
(("data", "HealthInformation"), "is", ("type", "SensitiveData"), 0.5)
