(('company', 'CiscoSolutions'), 'handles', ('data', 'PersonalData'), 0.5)
(('systemData', 'systemInformation'), 'includes', ('identifier', 'deviceIdentifiers'), 0.5)
(('systemData', 'systemInformation'), 'includes', ('telemetry', 'telemetryData'), 0.5)
(('company', 'Cisco'), 'acquires', ('data', 'PersonalData'), 0.5)
(('company', 'Cisco'), 'uses', ('data', 'PersonalData'), 0.5)
(('company', 'Cisco'), 'ensuresSecurityOf', ('system', 'businessSystems'), 0.5)
(('website', 'CiscoWebsites'), 'delivers', ('service', 'webServices'), 0.5)
(('website', 'CiscoWebsites'), 'customizes', ('experience', 'userExperience'), 0.5)
(('company', 'CiscoSolutions'), 'customizes', ('experience', 'userExperience'), 0.5)
(('company', 'Cisco'), 'sends', ('communication', 'communications'), 0.5)
(('communication', 'communications'), 'includes', ('communicationType', 'marketing'), 0.5)
(('company', 'Cisco'), 'manages', ('account', 'userAccounts'), 0.5)
(('company', 'Cisco'), 'processes', ('billingData', 'billingData'), 0.5)
(('company', 'Cisco'), 'processes', ('paymentData', 'paymentData'), 0.5)
(('company', 'Cisco'), 'analyzes', ('data', 'userData'), 0.5)
(('company', 'Cisco'), 'personalizes', ('experience', 'userExperience'), 0.5)
(('company', 'Cisco'), 'improves', ('serviceMetric', 'serviceAccuracy'), 0.5)
(('company', 'Cisco'), 'conducts', ('activity', 'customerSurveys'), 0.5)
(('company', 'Cisco'), 'facilitates', ('event', 'events'), 0.5)
(('company', 'Cisco'), 'protects', ('person', 'user'), 0.5)
(('company', 'Cisco'), 'protects', ('website', 'websites'), 0.5)
(('company', 'Cisco'), 'protects', ('company', 'Solutions'), 0.5)
(('company', 'Cisco'), 'collects', ('trackingData', 'cookieData'), 0.5)
(('company', 'Cisco'), 'collects', ('trackingData', 'webLogData'), 0.5)
(('company', 'Cisco'), 'collects', ('trackingData', 'webBeaconData'), 0.5)
(('trackingTechnology', 'cookies'), 'collects', ('usageData', 'usageData'), 0.5)
(('trackingTechnology', 'webLogs'), 'collects', ('usageData', 'usageData'), 0.5)
(('trackingTechnology', 'webBeacons'), 'collects', ('usageData', 'usageData'), 0.5)
(('tool', 'CiscoProfileManagementTool'), 'providesAccessTo', ('data', 'PersonalData'), 0.5)
(('tool', 'CiscoProfileManagementTool'), 'enables', ('privacyAction', 'personalDataCorrection'), 0.5)
(('tool', 'CiscoProfileManagementTool'), 'enables', ('privacyAction', 'personalDataDeletion'), 0.5)
(('company', 'Cisco'), 'actsAs', ('role', 'dataController'), 0.5)
(('company', 'Cisco'), 'actsAs', ('role', 'dataProcessor'), 0.5)
(('company', 'Cisco'), 'processesRequestsFor', ('privacyAction', 'personalDataAccess'), 0.5)
(('company', 'Cisco'), 'processesRequestsFor', ('privacyAction', 'personalDataCorrection'), 0.5)
(('company', 'Cisco'), 'processesRequestsFor', ('privacyAction', 'personalDataDeletion'), 0.5)
(('person', 'user'), 'manages', ('setting', 'communicationPreferences'), 0.5)
(('company', 'Cisco'), 'disclosesTo', ('organization', 'thirdPartyPartners'), 0.5)
(('organization', 'thirdPartyPartners'), 'informAbout', ('product', 'products'), 0.5)
(('organization', 'thirdPartyPartners'), 'informAbout', ('service', 'services'), 0.5)
(('person', 'user'), 'optsOut', ('communication', 'thirdPartyCommunications'), 0.5)
(('company', 'Cisco'), 'communicatesAbout', ('securityEvent', 'securityIssues'), 0.5)
(('company', 'Cisco'), 'notifies', ('user', 'usersOfSecurityBreaches'), 0.5)
(('data', 'PersonalData'), 'processedBy', ('organization', 'thirdParties'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'businessOperations'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'serviceDelivery'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'analytics'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'security'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'serviceCustomization'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'marketing'), 0.5)
(('organization', 'CiscoSubsidiaries'), 'processes', ('data', 'PersonalData'), 0.5)
(('organization', 'serviceVendors'), 'processes', ('data', 'PersonalData'), 0.5)
(('organization', 'businessPartners'), 'processes', ('data', 'PersonalData'), 0.5)
(('organization', 'thirdPartyDevelopers'), 'receives', ('usageData', 'applicationUsageData'), 0.5)
(('organization', 'thirdPartyDevelopers'), 'receives', ('performanceData', 'performanceData'), 0.5)
(('data', 'PersonalData'), 'disclosedTo', ('organization', 'businessPartners'), 0.5)
(('data', 'PersonalData'), 'disclosedTo', ('organization', 'serviceVendors'), 0.5)
(('data', 'PersonalData'), 'disclosedTo', ('organization', 'thirdPartyDevelopers'), 0.5)
(('data', 'PersonalData'), 'disclosedTo', ('organization', 'lawEnforcement'), 0.5)
(('data', 'PersonalData'), 'disclosedAs', ('dataForm', 'anonymizedData'), 0.5)
(('company', 'Cisco'), 'implements', ('safeguard', 'technicalSafeguards'), 0.5)
(('company', 'Cisco'), 'implements', ('safeguard', 'organizationalSafeguards'), 0.5)
(('company', 'Cisco'), 'protects', ('data', 'PersonalData'), 0.5)
(('organization', 'suppliers'), 'requiredToProtect', ('data', 'PersonalData'), 0.5)
(('safeguard', 'safeguards'), 'prevents', ('threat', 'unauthorizedAccessToPersonalData'), 0.5)
(('company', 'Cisco'), 'retains', ('data', 'PersonalData'), 0.5)
(('data', 'PersonalData'), 'retainedFor', ('retentionReason', 'legalObligations'), 0.5)
(('data', 'PersonalData'), 'retainedFor', ('retentionReason', 'businessRequirements'), 0.5)
(('data', 'PersonalData'), 'deletedWhen', ('condition', 'noLongerNeeded'), 0.5)
(('data', 'PersonalData'), 'anonymizedWhen', ('condition', 'noLongerNeeded'), 0.5)
(('website', 'CiscoWebsites'), 'uses', ('trackingTechnology', 'cookies'), 0.5)
(('website', 'CiscoWebsites'), 'uses', ('trackingTechnology', 'webBeacons'), 0.5)
(('trackingTechnology', 'cookies'), 'collects', ('networkIdentifier', 'IPAddress'), 0.5)
(('trackingTechnology', 'cookies'), 'collects', ('networkIdentifier', 'MACAddress'), 0.5)
(('trackingTechnology', 'cookies'), 'collects', ('behaviorData', 'clickstreamBehavior'), 0.5)
(('trackingTechnology', 'cookies'), 'collects', ('telemetry', 'telemetryData'), 0.5)
(('website', 'CiscoWebsites'), 'analyzes', ('behaviorData', 'userBehavior'), 0.5)
(('website', 'CiscoWebsites'), 'provides', ('content', 'personalizedContent'), 0.5)
(('organization', 'thirdPartyPartners'), 'uses', ('trackingTechnology', 'cookies'), 0.5)
(('organization', 'thirdPartyPartners'), 'provides', ('advertising', 'interestBasedAdvertising'), 0.5)
(('person', 'user'), 'manages', ('setting', 'cookiePreferences'), 0.5)
(('company', 'Cisco'), 'uses', ('process', 'automatedDecisionMaking'), 0.5)
(('process', 'automatedDecisionMaking'), 'assists', ('process', 'manualProcessing'), 0.5)
(('company', 'Cisco'), 'provides', ('option', 'manualReviewOption'), 0.5)
(('website', 'CiscoWebsites'), 'linksTo', ('website', 'thirdPartyWebsites'), 0.5)
(('website', 'CiscoWebsites'), 'linksTo', ('application', 'thirdPartyApps'), 0.5)
(('website', 'thirdPartyWebsites'), 'governedBy', ('privacyPolicy', 'thirdPartyPrivacyPolicies'), 0.5)
(('service', 'CiscoForums'), 'collects', ('data', 'userContent'), 0.5)
(('data', 'userContent'), 'visibleTo', ('audience', 'public'), 0.5)
(('company', 'Cisco'), 'respondsTo', ('privacyRequest', 'privacyRequests'), 0.5)
(('company', 'Cisco'), 'doesNotCollectWithoutConsent', ('data', 'childrensPersonalData'), 0.5)
(('company', 'Cisco'), 'investigates', ('incident', 'unauthorizedDataCollection'), 0.5)
(('data', 'PersonalData'), 'transferredTo', ('location', 'CiscoUSA'), 0.5)
(('data', 'PersonalData'), 'transferredTo', ('organization', 'CiscoSubsidiaries'), 0.5)
(('company', 'Cisco'), 'transfers', ('data', 'PersonalData'), 0.5)
(('company', 'Cisco'), 'safeguards', ('process', 'dataTransfer'), 0.5)
(('program', 'CiscoGlobalPrivacyProgram'), 'compliesWith', ('framework', 'CBPR'), 0.5)
(('program', 'CiscoGlobalPrivacyProgram'), 'compliesWith', ('framework', 'PRP'), 0.5)
(('company', 'Cisco'), 'holds', ('certification', 'CBPRCertification'), 0.5)
(('company', 'Cisco'), 'holds', ('certification', 'PRPCertification'), 0.5)
(('regulation', 'EUBRCC'), 'appliesTo', ('organization', 'CiscoEntities'), 0.5)
(('regulation', 'EUBRCC'), 'protects', ('data', 'EuropeanPersonalData'), 0.5)
(('company', 'Cisco'), 'uses', ('legalMechanism', 'StandardContractualClauses'), 0.5)
(('organization', 'CiscoUS'), 'compliesWith', ('framework', 'EUSDataPrivacyFramework'), 0.5)
(('organization', 'CiscoUS'), 'adheresTo', ('frameworkPrinciple', 'DPFPrinciples'), 0.5)
(('organization', 'CiscoUS'), 'processes', ('data', 'PersonalData'), 0.5)
(('organization', 'CiscoUS'), 'responsibleFor', ('process', 'personalDataProcessing'), 0.5)
(('organization', 'CiscoUS'), 'transfersTo', ('organization', 'thirdPartyAgents'), 0.5)
(('organization', 'CiscoUS'), 'resolves', ('privacyIssue', 'privacyComplaints'), 0.5)
(('regulation', 'UKBRCC'), 'appliesTo', ('organization', 'CiscoEntities'), 0.5)
(('regulation', 'UKBRCC'), 'protects', ('data', 'UKPersonalData'), 0.5)
(('company', 'Cisco'), 'resolves', ('privacyIssue', 'privacyComplaints'), 0.5)
(('person', 'user'), 'contacts', ('organization', 'dataProtectionAuthority'), 0.5)
(('person', 'CaliforniaResident'), 'hasRightTo', ('privacyRight', 'accessPersonalData'), 0.5)
(('person', 'CaliforniaResident'), 'hasRightTo', ('privacyRight', 'deletePersonalData'), 0.5)
(('person', 'CaliforniaResident'), 'hasRightTo', ('privacyRight', 'optOutOfDataSharing'), 0.5)
(('company', 'Cisco'), 'doesNotSell', ('data', 'PersonalData'), 0.5)
(('company', 'Cisco'), 'doesNotDiscriminate', ('person', 'user'), 0.5)
(('company', 'companies'), 'discloses', ('data', 'PersonalDataToThirdParties'), 0.5)
(('company', 'companies'), 'provides', ('option', 'optOutOptions'), 0.5)
(('company', 'Cisco'), 'updates', ('privacyPolicy', 'PrivacyStatement'), 0.5)
(('person', 'user'), 'accepts', ('privacyPolicy', 'PrivacyStatementUpdates'), 0.5)
