(('company', 'Apple'), 'provides', ('right', 'DataTransferRights'), 0.5)
(('application', 'SmartThings'), 'usesDataFor', ('purpose', 'TailoredServices'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'AccountInformation'), 0.5)
(('website', 'CiscoWebsites'), 'linksTo', ('application', 'thirdPartyApps'), 0.5)
(('application', 'SmartThings'), 'sharesWith', ('entity', 'ConsentedParties'), 0.5)
(('company', 'Apple'), 'notifies', ('user', 'Users'), 0.5)
(('data', 'FitnessInformation'), 'includes', ('data', 'ExerciseData'), 0.5)
(('website', 'CiscoWebsites'), 'linksTo', ('website', 'thirdPartyWebsites'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'serviceCustomization'), 0.5)
(('company', 'Cisco'), 'collects', ('trackingData', 'cookieData'), 0.5)
(('data', 'LocationInformation'), 'includes', ('geo', 'PreciseLocation'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'VideoRecordings'), 0.5)
(('data', 'PersonalData'), 'transferredTo', ('location', 'CiscoUSA'), 0.5)
(('app', 'AppleMusic'), 'collects', ('data', 'SongPlaybackData'), 0.5)
(('company', 'companies'), 'discloses', ('data', 'PersonalDataToThirdParties'), 0.5)
(('application', 'SmartThings'), 'uses', ('technology', 'WebBeacons'), 0.5)
(('company', 'Cisco'), 'uses', ('legalMechanism', 'StandardContractualClauses'), 0.5)
(('data', 'PersonalData'), 'includes', ('data', 'IdentifiableIndividualData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'DietaryPreferences'), 0.5)
(('company', 'Cisco'), 'actsAs', ('role', 'dataProcessor'), 0.5)
(('data', 'HealthInformation'), 'includes', ('data', 'HealthStatusData'), 0.5)
(('credential', 'loginCredentials'), 'includes', ('credentialField', 'password'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'UserInterests'), 0.5)
(('trackingTechnology', 'cookies'), 'collects', ('networkIdentifier', 'IPAddress'), 0.5)
(('policy', 'ApplePrivacyPolicy'), 'appliesTo', ('service', 'PhoneInteractions'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'collects', ('data', 'ProfileInformation'), 0.5)
(('website', 'CiscoWebsites'), 'uses', ('trackingTechnology', 'cookies'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'AudioVisualContent'), 0.5)
(('data', 'LocationInformation'), 'includes', ('geo', 'CoarseLocation'), 0.5)
(('organization', 'suppliers'), 'requiredToProtect', ('data', 'PersonalData'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'ContactInformation'), 0.5)
(('financialData', 'financialInformation'), 'includes', ('financialData', 'bankAccountDetails'), 0.5)
(('company', 'Apple'), 'denies', ('request', 'ThirdPartyPrivacyProtectionRequests'), 0.5)
(('website', 'CiscoWebsites'), 'customizes', ('experience', 'userExperience'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'FoodImagesFromRefrigerator'), 0.5)
(('manufacturer', 'Samsung'), 'sends', ('data', 'Alerts'), 0.5)
(('company', 'Cisco'), 'protects', ('company', 'Solutions'), 0.5)
(('platform', 'AppleAppStore'), 'provides', ('app', 'ThirdPartyApps'), 0.5)
(('data', 'HealthInformation'), 'includes', ('data', 'MentalHealthData'), 0.5)
(('data', 'PersonalData'), 'includes', ('data', 'IdentifiedIndividualData'), 0.5)
(('setting', 'AppleSettings'), 'displays', ('info', 'PrivacyInformation'), 0.5)
(('company', 'CiscoSolutions'), 'provides', ('document', 'dataCollectionNotices'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'TouchInteractions'), 0.5)
(('service', 'SmartService'), 'contactsUserVia', ('channel', 'Phone'), 0.5)
(('tool', 'CiscoProfileManagementTool'), 'enables', ('privacyAction', 'personalDataDeletion'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'UsageData'), 0.5)
(('data', 'GovernmentIDData'), 'usedFor', ('purpose', 'DeviceActivation'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'analytics'), 0.5)
(('data', 'DeviceInformation'), 'includes', ('identifier', 'DeviceSerialNumber'), 0.5)
(('data', 'PaymentInformation'), 'includes', ('financialData', 'BillingAddress'), 0.5)
(('feature', 'AppleFeatures'), 'uses', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'retainsDataFor', ('policy', 'Contracts'), 0.5)
(('company', 'Cisco'), 'uses', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'UserIDs'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'AudioContent'), 0.5)
(('data', 'HealthInformation'), 'includes', ('data', 'MedicalCondition'), 0.5)
(('company', 'Cisco'), 'uses', ('process', 'automatedDecisionMaking'), 0.5)
(('company', 'Apple'), 'validates', ('data', 'AccountInformation'), 0.5)
(('data', 'communicationsContent'), 'includes', ('mediaType', 'audio'), 0.5)
(('company', 'Cisco'), 'provides', ('option', 'manualReviewOption'), 0.5)
(('data', 'communicationsContent'), 'includes', ('mediaType', 'video'), 0.5)
(('service', 'SmartService'), 'contactsUserVia', ('channel', 'Email'), 0.5)
(('bot', 'AppleBot'), 'crawls', ('data', 'PublicInternetData'), 0.5)
(('policy', 'ApplePrivacyPolicy'), 'appliesTo', ('platform', 'AppleWebsites'), 0.5)
(('company', 'Apple'), 'avoids', ('process', 'ReidentificationOfIndividuals'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'collects', ('data', 'CryCountData'), 0.5)
(('website', 'CiscoWebsites'), 'provides', ('content', 'personalizedContent'), 0.5)
(('data', 'PersonalData'), 'includes', ('field', 'Name'), 0.5)
(('manufacturer', 'Samsung'), 'hasPolicy', ('policy', 'SamsungPrivacyPolicy'), 0.5)
(('regulation', 'UKBRCC'), 'appliesTo', ('organization', 'CiscoEntities'), 0.5)
(('data', 'PersonalData'), 'includes', ('identifier', 'onlineIdentifiers'), 0.5)
(('company', 'CiscoSolutions'), 'uses', ('data', 'PersonalData'), 0.5)
(('policy', 'ApplePrivacyPolicy'), 'appliesTo', ('service', 'AppleStoreInteractions'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'sharesWith', ('entity', 'Caregiver'), 0.5)
(('application', 'SmartThings'), 'buildsProfile', ('data', 'UserBrowsingActivity'), 0.5)
(('company', 'CiscoSolutions'), 'customizes', ('experience', 'userExperience'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'CommunicationData'), 0.5)
(('company', 'Cisco'), 'collects', ('trackingData', 'webLogData'), 0.5)
(('company', 'Cisco'), 'processesRequestsFor', ('privacyAction', 'personalDataDeletion'), 0.5)
(('company', 'Cisco'), 'doesNotSell', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'usesProtocol', ('protocol', 'GPS'), 0.5)
(('tool', 'CiscoProfileManagementTool'), 'enables', ('privacyAction', 'personalDataCorrection'), 0.5)
(('data', 'PersonalData'), 'disclosedTo', ('organization', 'thirdPartyDevelopers'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'AppList'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'collects', ('data', 'MedicalVisits'), 0.5)
(('company', 'Cisco'), 'processesRequestsFor', ('privacyAction', 'personalDataCorrection'), 0.5)
(('company', 'CiscoSolutions'), 'includes', ('service', 'services'), 0.5)
(('identifier', 'AdvertisingIdentifier'), 'identifies', ('device', 'AdvertisingDevice'), 0.5)
(('person', 'User'), 'canDelete', ('data', 'PersonalData'), 0.5)
(('manufacturer', 'Samsung'), 'usesDataFor', ('purpose', 'Advertising'), 0.5)
(('company', 'companies'), 'provides', ('option', 'optOutOptions'), 0.5)
(('manufacturer', 'Samsung'), 'usesDataFor', ('purpose', 'Personalization'), 0.5)
(('control', 'TechnicalSafeguards'), 'protects', ('data', 'PersonalData'), 0.5)
(('company', 'Apple'), 'compliesWith', ('law', 'InternationalDataTransferLaws'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'collects', ('data', 'MedicationSchedule'), 0.5)
(('company', 'CiscoSolutions'), 'provides', ('document', 'privacyDataMaps'), 0.5)
(('company', 'Cisco'), 'acquires', ('data', 'PersonalData'), 0.5)
(('tool', 'CiscoProfileManagementTool'), 'providesAccessTo', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'mustComplyWith', ('law', 'PrivacyLaws'), 0.5)
(('control', 'PhysicalSafeguards'), 'protects', ('data', 'PersonalData'), 0.5)
(('company', 'Cisco'), 'improves', ('serviceMetric', 'serviceAccuracy'), 0.5)
(('data', 'GovernmentIDData'), 'usedFor', ('purpose', 'LegalCompliance'), 0.5)
(('data', 'UsageData'), 'includes', ('event', 'AppLaunchData'), 0.5)
(('manufacturer', 'Samsung'), 'hasService', ('service', 'SmartService'), 0.5)
(('company', 'Cisco'), 'communicatesAbout', ('securityEvent', 'securityIssues'), 0.5)
(('person', 'User'), 'canRestrict', ('data', 'SensitiveDataProcessing'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'PaymentInformation'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'BrowsingActivity'), 0.5)
(('person', 'user'), 'contacts', ('organization', 'dataProtectionAuthority'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'Images'), 0.5)
(('company', 'CiscoSolutions'), 'includes', ('product', 'products'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'subscriptions'), 0.5)
(('company', 'Apple'), 'receives', ('data', 'ThirdPartyPersonalData'), 0.5)
(('organization', 'CiscoUS'), 'resolves', ('privacyIssue', 'privacyComplaints'), 0.5)
(('data', 'TransactionInformation'), 'includes', ('data', 'ServiceTransactions'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'collects', ('data', 'StepCount'), 0.5)
(('application', 'SmartThings'), 'hasVoiceAssistant', ('assistant', 'Bixby'), 0.5)
(('data', 'PersonalData'), 'disclosedTo', ('organization', 'serviceVendors'), 0.5)
(('data', 'UsageData'), 'includes', ('event', 'BrowsingHistory'), 0.5)
(('company', 'Apple'), 'uses', ('data', 'TroubleshootingData'), 0.5)
(('data', 'PersonalData'), 'includes', ('financialData', 'financialInformation'), 0.5)
(('company', 'Cisco'), 'transfers', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'uses', ('technology', 'WebServerLogs'), 0.5)
(('company', 'Cisco'), 'protects', ('website', 'websites'), 0.5)
(('company', 'Apple'), 'uses', ('control', 'TechnicalSafeguards'), 0.5)
(('organization', 'CiscoUS'), 'transfersTo', ('organization', 'thirdPartyAgents'), 0.5)
(('trackingTechnology', 'cookies'), 'collects', ('telemetry', 'telemetryData'), 0.5)
(('company', 'Cisco'), 'processes', ('billingData', 'billingData'), 0.5)
(('data', 'PersonalData'), 'includes', ('behaviorData', 'userBehaviorData'), 0.5)
(('manufacturer', 'Samsung'), 'usesDataFor', ('purpose', 'Authentication'), 0.5)
(('company', 'Apple'), 'uses', ('data', 'SecurityData'), 0.5)
(('application', 'SmartThings'), 'tracks', ('user', 'UsersAcrossWebsites'), 0.5)
(('manufacturer', 'Samsung'), 'hasStatement', ('statement', 'SamsungConsumerHealthDataPrivacyStatement'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'collectsWithConsent', ('data', 'ActivityLogs'), 0.5)
(('company', 'Cisco'), 'ensuresSecurityOf', ('system', 'businessSystems'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'address'), 0.5)
(('data', 'PaymentInformation'), 'includes', ('financialData', 'DebitCardInformation'), 0.5)
(('data', 'ContactInformation'), 'includes', ('field', 'Name'), 0.5)
(('data', 'PersonalData'), 'usedFor', ('businessPurpose', 'businessOperations'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'collects', ('data', 'Symptoms'), 0.5)
(('company', 'Apple'), 'processes', ('data', 'ChinaPersonalData'), 0.5)
(('manufacturer', 'Samsung'), 'requiresConsentFor', ('purpose', 'PersonalizedAdvertising'), 0.5)
(('manufacturer', 'SamsungElectronicsCoLtd'), 'provides', ('application', 'SmartThings'), 0.5)
(('organization', 'thirdPartyPartners'), 'informAbout', ('service', 'services'), 0.5)
(('application', 'SmartThings'), 'operateIndependentlyFrom', ('system', 'Features'), 0.5)
(('company', 'Apple'), 'doesNotShareForMarketing', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'collects', ('data', 'EmergencyContacts'), 0.5)
(('telemetry', 'telemetryData'), 'includes', ('networkIdentifier', 'IPAddress'), 0.5)
(('person', 'User'), 'canUpdate', ('data', 'PersonalData'), 0.5)
(('website', 'CiscoWebsites'), 'uses', ('trackingTechnology', 'webBeacons'), 0.5)
(('application', 'SmartThings'), 'hasSoftware', ('application', 'SmartThingsFamilyCare'), 0.5)
(('company', 'Apple'), 'uses', ('data', 'PersonalData'), 0.5)
(('company', 'Cisco'), 'collects', ('trackingData', 'webBeaconData'), 0.5)
(('data', 'FinancialInformation'), 'includes', ('data', 'AssetsInformation'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'DeviceInformation'), 0.5)
(('data', 'communicationsContent'), 'includes', ('mediaType', 'text'), 0.5)
(('person', 'CaliforniaResident'), 'hasRightTo', ('privacyRight', 'deletePersonalData'), 0.5)
(('webpage', 'AppleDataAndPrivacyPage'), 'enables', ('process', 'PrivacyRightsRequests'), 0.5)
(('financialData', 'financialInformation'), 'includes', ('financialData', 'creditCardInformation'), 0.5)
(('regulation', 'EUBRCC'), 'protects', ('data', 'EuropeanPersonalData'), 0.5)
(('organization', 'ThirdPartyServiceProviders'), 'processes', ('data', 'PersonalData'), 0.5)
(('manufacturer', 'Samsung'), 'usesDataFor', ('purpose', 'ServiceProvision'), 0.5)
(('application', 'SmartThings'), 'operateIndependentlyFrom', ('system', 'Apps'), 0.5)
(('data', 'userContent'), 'visibleTo', ('audience', 'public'), 0.5)
(('data', 'PersonalData'), 'deletedWhen', ('condition', 'noLongerNeeded'), 0.5)
(('company', 'Apple'), 'uses', ('data', 'PersonalizationData'), 0.5)
(('service', 'SmartService'), 'contactsUserVia', ('channel', 'TextMessage'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'SamsungAccountProfileInformation'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'AccountInformation'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'HealthInformation'), 0.5)
(('organization', 'CiscoUS'), 'compliesWith', ('framework', 'EUSDataPrivacyFramework'), 0.5)
(('company', 'Cisco'), 'conducts', ('activity', 'customerSurveys'), 0.5)
(('account', 'SamsungAccount'), 'linksTo', ('entity', 'ThirdPartyServices'), 0.5)
(('data', 'UsageData'), 'includes', ('event', 'DiagnosticData'), 0.5)
(('application', 'SmartThings'), 'hasSoftware', ('application', 'SmartThingsClothingCare'), 0.5)
(('company', 'Cisco'), 'implements', ('safeguard', 'organizationalSafeguards'), 0.5)
(('company', 'Cisco'), 'actsAs', ('role', 'dataController'), 0.5)
(('communication', 'communications'), 'includes', ('communicationType', 'marketing'), 0.5)
(('data', 'ContactInformation'), 'includes', ('field', 'PhoneNumber'), 0.5)
(('company', 'Cisco'), 'safeguards', ('process', 'dataTransfer'), 0.5)
(('application', 'SmartThings'), 'usesProtocol', ('protocol', 'WiFi'), 0.5)
(('website', 'thirdPartyWebsites'), 'governedBy', ('privacyPolicy', 'thirdPartyPrivacyPolicies'), 0.5)
(('data', 'GovernmentIDData'), 'usedFor', ('purpose', 'WirelessAccountSetup'), 0.5)
(('application', 'SmartThings'), 'hasSoftware', ('application', 'SmartThingsCooking'), 0.5)
(('systemData', 'systemInformation'), 'includes', ('telemetry', 'telemetryData'), 0.5)
(('credential', 'loginCredentials'), 'includes', ('credentialField', 'accountNumber'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'emailAddress'), 0.5)
(('account', 'SamsungAccount'), 'linksTo', ('entity', 'ThirdPartyApps'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'WebsiteVisits'), 0.5)
(('company', 'Apple'), 'compliesWith', ('law', 'PIPL'), 0.5)
(('company', 'Cisco'), 'implements', ('safeguard', 'technicalSafeguards'), 0.5)
(('account', 'SamsungAccount'), 'linksTo', ('entity', 'ThirdPartyDevices'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'Routines'), 0.5)
(('systemData', 'systemInformation'), 'includes', ('identifier', 'deviceIdentifiers'), 0.5)
(('company', 'Apple'), 'transfers', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'SubscriptionInformation'), 0.5)
(('service', 'AppleServices'), 'linksTo', ('service', 'ThirdPartyServices'), 0.5)
(('application', 'SmartThings'), 'sharesWith', ('entity', 'ThirdPartyPlugins'), 0.5)
(('application', 'SmartThings'), 'mustComplyWith', ('law', 'VideoSurveillanceLaws'), 0.5)
(('regulation', 'EUBRCC'), 'appliesTo', ('organization', 'CiscoEntities'), 0.5)
(('regulation', 'UKBRCC'), 'protects', ('data', 'UKPersonalData'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'FinancialInformation'), 0.5)
(('person', 'user'), 'manages', ('setting', 'communicationPreferences'), 0.5)
(('user', 'User'), 'withdraws', ('consent', 'DataProcessingConsent'), 0.5)
(('application', 'SmartThings'), 'anonymizesData', ('policy', 'WhenNoLongerNeeded'), 0.5)
(('organization', 'thirdPartyPartners'), 'informAbout', ('product', 'products'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'HomeInformation'), 0.5)
(('telemetry', 'telemetryData'), 'includes', ('networkIdentifier', 'MACAddress'), 0.5)
(('trackingTechnology', 'cookies'), 'collects', ('usageData', 'usageData'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'phoneNumber'), 0.5)
(('application', 'SmartThings'), 'deletesData', ('policy', 'WhenNoLongerNeeded'), 0.5)
(('data', 'FinancialInformation'), 'includes', ('data', 'IncomeData'), 0.5)
(('bot', 'AppleBot'), 'isA', ('type', 'WebCrawler'), 0.5)
(('company', 'Apple'), 'denies', ('request', 'SecurityInvestigationRequests'), 0.5)
(('company', 'Cisco'), 'respondsTo', ('privacyRequest', 'privacyRequests'), 0.5)
(('account', 'AppleAccount'), 'includes', ('device', 'RegisteredDevices'), 0.5)
(('company', 'Cisco'), 'facilitates', ('event', 'events'), 0.5)
(('data', 'FinancialInformation'), 'includes', ('data', 'SalaryData'), 0.5)
(('service', 'CiscoForums'), 'collects', ('data', 'userContent'), 0.5)
(('application', 'SmartThings'), 'retainsDataFor', ('policy', 'LegalObligations'), 0.5)
(('data', 'AggregatedData'), 'classifiedAs', ('dataClass', 'NonPersonalData'), 0.5)
(('company', 'CiscoSolutions'), 'handles', ('data', 'PersonalData'), 0.5)
(('data', 'UsageData'), 'includes', ('event', 'SearchHistory'), 0.5)
(('company', 'Apple'), 'provides', ('right', 'DataCorrectionRights'), 0.5)
(('company', 'Apple'), 'updates', ('policy', 'PrivacyPractices'), 0.5)
(('appGroup', 'AppleApps'), 'includes', ('app', 'AppleMusic'), 0.5)
(('person', 'CaliforniaResident'), 'hasRightTo', ('privacyRight', 'optOutOfDataSharing'), 0.5)
(('person', 'User'), 'uses', ('application', 'SmartThings'), 0.5)
(('company', 'Cisco'), 'resolves', ('privacyIssue', 'privacyComplaints'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'PersonalData'), 0.5)
(('data', 'SongPlaybackData'), 'usedFor', ('purpose', 'RoyaltyProcessing'), 0.5)
(('user', 'User'), 'requests', ('data', 'PersonalDataCopy'), 0.5)
(('process', 'automatedDecisionMaking'), 'assists', ('process', 'manualProcessing'), 0.5)
(('application', 'SmartThings'), 'notResponsibleFor', ('entity', 'ThirdPartyContent'), 0.5)
(('application', 'SmartThings'), 'usesDataFor', ('purpose', 'Advertising'), 0.5)
(('geo', 'PreciseLocation'), 'supports', ('service', 'FindMyService'), 0.5)
(('policy', 'ApplePrivacyPolicy'), 'appliesTo', ('appGroup', 'AppleApps'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'FraudPreventionInformation'), 0.5)
(('company', 'Cisco'), 'processesRequestsFor', ('privacyAction', 'personalDataAccess'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'SleepInformation'), 0.5)
(('organization', 'CiscoUS'), 'responsibleFor', ('process', 'personalDataProcessing'), 0.5)
(('website', 'CiscoWebsites'), 'collects', ('usageData', 'usageData'), 0.5)
(('application', 'SmartThings'), 'sharesWith', ('entity', 'ServiceProviders'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'HealthInformation'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'RegisteredDevices'), 0.5)
(('company', 'Apple'), 'uses', ('data', 'FraudPreventionData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'UsageInformation'), 0.5)
(('company', 'Apple'), 'shares', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'sharesWith', ('entity', 'SubsidiariesAndAffiliates'), 0.5)
(('application', 'SmartThings'), 'sharesWith', ('entity', 'LegalAuthorities'), 0.5)
(('company', 'Apple'), 'stores', ('data', 'PersonalData'), 0.5)
(('website', 'CiscoWebsites'), 'delivers', ('service', 'webServices'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'LocationInformation'), 0.5)
(('manufacturer', 'Samsung'), 'sends', ('data', 'Notifications'), 0.5)
(('data', 'UsageData'), 'includes', ('event', 'CrashData'), 0.5)
(('company', 'Cisco'), 'retains', ('data', 'PersonalData'), 0.5)
(('company', 'Cisco'), 'analyzes', ('data', 'userData'), 0.5)
(('data', 'PersonalData'), 'includes', ('telemetry', 'telemetryData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'DeviceIdentifiers'), 0.5)
(('website', 'CiscoWebsites'), 'analyzes', ('behaviorData', 'userBehavior'), 0.5)
(('account', 'AppleAccount'), 'includes', ('data', 'Age'), 0.5)
(('company', 'CiscoSolutions'), 'processes', ('data', 'PersonalData'), 0.5)
(('company', 'Apple'), 'uses', ('data', 'AnalysisData'), 0.5)
(('platform', 'AppleAdvertisingPlatform'), 'uses', ('method', 'ContextualAdvertising'), 0.5)
(('organization', 'businessPartners'), 'processes', ('data', 'PersonalData'), 0.5)
(('data', 'UsageData'), 'includes', ('event', 'PerformanceData'), 0.5)
(('control', 'AdministrativeSafeguards'), 'protects', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'retainsData', ('policy', 'AsLongAsNecessary'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'FitnessInformation'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'visitInformation'), 0.5)
(('data', 'PersonalData'), 'includes', ('credential', 'loginCredentials'), 0.5)
(('manufacturer', 'Samsung'), 'usesDataFor', ('purpose', 'UserIdentification'), 0.5)
(('person', 'user'), 'manages', ('setting', 'cookiePreferences'), 0.5)
(('organization', 'thirdPartyDevelopers'), 'receives', ('usageData', 'applicationUsageData'), 0.5)
(('company', 'Cisco'), 'holds', ('certification', 'CBPRCertification'), 0.5)
(('program', 'CiscoGlobalPrivacyProgram'), 'compliesWith', ('framework', 'PRP'), 0.5)
(('webpage', 'ShazamPrivacyPage'), 'enables', ('process', 'PrivacyRightsRequests'), 0.5)
(('manufacturer', 'Samsung'), 'hasPolicy', ('policy', 'SmartThingsUSPrivacyNoticeForMinors'), 0.5)
(('company', 'CiscoSolutions'), 'collects', ('systemData', 'systemInformation'), 0.5)
(('company', 'Cisco'), 'protects', ('person', 'user'), 0.5)
(('company', 'Apple'), 'provides', ('right', 'DataAccessRights'), 0.5)
(('data', 'FraudPreventionInformation'), 'includes', ('metric', 'DeviceTrustScore'), 0.5)
(('application', 'SmartThingsFamilyCare'), 'doesNotCollect', ('data', 'VoiceInformation'), 0.5)
(('data', 'DeviceInformation'), 'includes', ('info', 'BrowserType'), 0.5)
